stats: component=ResourceConsumption, ts=59204.111, cpu=28.7, cpu_max=25.0, mem=914366464, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59204.222, cpu=28.7, cpu_max=14.3, mem=914366464, recv_bandwidth=0, sent_bandwidth=830
stats: component=ResourceConsumption, ts=59204.334, cpu=14.2, cpu_max=14.3, mem=914366464, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59204.446, cpu=0.0, cpu_max=14.3, mem=914366464, recv_bandwidth=1643, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59204.557, cpu=14.3, cpu_max=25.0, mem=914366464, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59204.668, cpu=14.2, cpu_max=14.3, mem=914366464, recv_bandwidth=41693, sent_bandwidth=15991
stats: component=ResourceConsumption, ts=59204.779, cpu=37.5, cpu_max=25.0, mem=918310912, recv_bandwidth=5058, sent_bandwidth=1247
stats: component=ResourceConsumption, ts=59204.891, cpu=71.7, cpu_max=25.0, mem=918310912, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59205.002, cpu=56.8, cpu_max=28.6, mem=917377024, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59205.113, cpu=57.3, cpu_max=28.6, mem=917377024, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59205.224, cpu=0.0, cpu_max=14.3, mem=916766720, recv_bandwidth=763, sent_bandwidth=826
stats: component=ResourceConsumption, ts=59205.335, cpu=14.2, cpu_max=14.3, mem=916881408, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59205.446, cpu=86.0, cpu_max=71.4, mem=916541440, recv_bandwidth=4693, sent_bandwidth=485
stats: component=ResourceConsumption, ts=59205.557, cpu=28.7, cpu_max=28.6, mem=916541440, recv_bandwidth=78064, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59205.669, cpu=50.0, cpu_max=12.5, mem=916930560, recv_bandwidth=79180, sent_bandwidth=970
stats: component=ResourceConsumption, ts=59205.780, cpu=42.6, cpu_max=28.6, mem=917102592, recv_bandwidth=0, sent_bandwidth=487
stats: component=ResourceConsumption, ts=59205.891, cpu=43.0, cpu_max=14.3, mem=915935232, recv_bandwidth=32221, sent_bandwidth=13298
